ID,TEXT
1,"I did the same thing every now and then, but it isn't because I'm sick."
2,Went through two boxes of tissues today.
3,"Honestly, if that's true, I think you probobaly either need couseling or a doctor too. Keep it classy huh."
4,Get well soon. Hang in there.
5,"on a completely irrelevant subject, your profile pic looks awesome."
6,"I'd love a cold, excuse to sit at home and play games all day."
7,Better two boxes of tissues in one day than eight rolls of toilet paper in one week.
8,Works like a charm. /Works wonders.
9,"I'd discourage using autounmask, it's supposed to be a tool in your hands, not the other way around."
10,Just the thought of having to do that is starting to make me sick.
11,"I'm trying to install arch linux, and everything has been going well so far, up until I start to install X."
12,"This client–server terminology – the user's terminal being the server and the applications being the clients – often confuses new X users, because the terms appear reversed. But X takes the perspective of the application, rather than that of the end-user: X provides display and I/O services to applications, so it is a server; applications use these services, thus they are clients."
13,A high performance kernel that is small in size and has a low memory footprint.
14,No unnecessary software or hardware support.
15,"Minimalist Security only, NO BLOAT."
16,It’ll give you a ton of different options and all sorts of things (that).
17,That’s quite a lot.
18,My life depends on it.
19,Don’t make this about us.
20,We’re definitely in for tomorrow night.
21,She has no one but herself to blame.
22,"By the time you read this, I’ll be in Tokyo."
23,You don’t have to lift a finger.
24,It’s been a couple of rough weeks.
25,He is more than his race.
26,That's what I'm talking about.
27,Hook with me.
28,Got a cigarette?
29,There's no light at the end of the tunnel.
30,Just take the heat.
31,"It’s fast approaching, isn't it?"
32,13 hard life lessons you're going to wish you learned 10 years ealier.
33,A tweet by a Facebook exec stirs up a fascinating discussion of the hard lessons we learn a little bit too late.
34,"The most valuable things are generally those that are hardest to obtain. That goes for wisdom ~~as much as~~ it does for diamonds and technical talent. The lessons that will do you the most good are also often the ones you avoid, resist, or simply miss for years."
35,There's no denying this reality. But you can at least try to do an end run around your own psychological defenses and intellectual gaps by asking those older and smarter for you to share the most valuable lessons they finally got through their thick skulls years too late. [NOTE: To do an end run is to maneuver around an obstacle or authority in order to accomplish a certain goal. This idiom means much the same as to go over someone’s head.]
